SPECIES_NAME,DIET,FISH_ID,1998/CH,1998/DG,1998/SB,1998/SC,1998/TF,2000/CP,2000/DG,2000/SC,2000/CH,2000/SB,2000/TF,2000/SV,2000/BB,2002/BB,2002/DG,2002/SB,2002/SC,2002/SV,2002/CP,2002/TF,2004/CP,2004/DG,2004/SC,2004/SB,2004/HM,2004/SV,2004/BB,2006/CR,2006/DG,2006/CP,2006/SB,2006/SC,2006/SH,2006/SV,2006/TF,2008/BB,2008/CP,2008/CR,2008/DG,2008/SC,2008/SH,2008/SV,2008/TF,2010/CP,2010/CR,2010/DG,2010/HM,2010/SB,2010/SC,2010/SH,2010/SV,2010/TF,2012/BB,2012/CP,2012/CR,2012/DG,2012/ER,2012/SV,2012/SC,2012/SB,2012/SH,2012/TF,2014/BB,2014/CP,2014/CR,2014/CH,2014/DG,2014/SV,2014/SC,2014/SB,2014/SH,2014/TF,2016/SC,2016/DG,2016/CR,2016/SH,2016/SV,2016/CP,2016/TF,2016/CH,2016/SB,2016/ER,2018/BB,2018/CP,2018/CR,2018/DG,2018/ER,2018/SV,2018/SC,2018/SB,2018/SH,2018/TF
Blue Angelfish,Sponges,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,2,0,0,0,1
Cherubfish,Algae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,3,2,0,1
French Angelfish,Sponges,3,1,1.333333333,2,2,1.25,1,1,1.166666667,1,2,1,1.285714286,1.290476191,1.666666667,2,0,2,2,0,2,0,1.6,1,1.6,2,2,2,1.666666667,2,0,2,1.75,2,2,2,1.6,2,1.5,1.666666667,1.5,1.8,2,1.666666667,1.5,1.333333333,1.333333333,1.666666667,1.166666667,1,1.5,1,1.333333333,1,2,1.4,1.5,1.5,1.4,1.5,1.75,1.6,1.8,1,1.5,1.25,1.25,1.5,1.25,1,1,1,1.333333333,0,1,0,0,0,0,2,2,0,1,2,1.4,1.333333333,1.75,2.142857143,2,1.6,2,1.777777778,1.666666667
Gray Angelfish,Sponges,4,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.5,1,1.5,1,1,1.5,1,0,0,1,0,0,1.666666667,0,0,1,1,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1.25,2
Queen Angelfish,Sponges,5,1.222222222,2,1.333333333,0,1,0,0,0,1.6,1,1,1,0,2,2,2,1,1.666666667,0,1.5,0,1.666666667,0,1.666666667,0,1,1,1.5,1,2,1.4,1.5,2,0,1.833333333,2,1,1.333333333,0,1,1.666666667,1.25,1.333333333,1,1,1.333333333,0,1,1,2,1,1.5,1,1,1.333333333,1,1,1.8,1.2,1.5,1,1.5,1,2,1,1,1,1.25,1.5,1,1.25,1.333333333,0,0,0,1,1.5,1,2,1,2,1,1.5,1.666666667,2.5,2,2,2.666666667,1.25,1.25,1.333333333,1.833333333
Rock Beauty,Sponges,6,2.375,2.5,2,2,1.75,1.5,2.5,1.833333333,2.333333333,2.25,1.75,2,2.033333333,2,2,3,2,2,2,2,2.5,2,1.6,1.75,0,2.333333333,2,1.75,2.25,2,2,2,1.75,2,1.666666667,1.666666667,1.75,1.75,2,1.8,2,1.9,1.5,1.6,1.6,2,1,2,1.75,2,1,1.666666667,1.5,1.8,1.5,2,2.25,1.857142857,1.5,2,2,2,2,2.2,2,2,1.5,2.2,2,2,2.25,1.5,0,1.75,0,0,2,2,1.666666667,1.333333333,0,1,2,1.666666667,1.833333333,1.9,2,1.8,1.4,1.833333333,2,1.875
Great Barracuda,Fish,7,1.666666667,1,1.5,0,1.5,1,1,1.333333333,2,1.666666667,2,1,1.6,1,1,2.75,2,1.333333333,1,1,1,1,0,1.666666667,1.6,2,1,1.2,1.666666667,1.5,1,0,1.5,1,1,1.25,2,1.583333333,1.75,2,1.666666667,2,2,0,1.5,1.666666667,0,1,1.666666667,1,1,0,1.285714286,1,1.2,1.5,1.2,1.5,1,0,1.333333333,1.4,1,1,1,0,1,1,2,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1.375,1.777777778,1.875,1.4,1,1.25,1.25,1.666666667
Southern Sennet,Fish,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4
Blackcap Basslet,Zooplankton,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,2,0,0,0,2,2,3,3,3,3,2,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2.666666667,1,3,2,3,0,2.5
Fairy Basslet,Zooplankton,10,3.75,3.333333333,3.333333333,4,3.2,3,3.25,2.714285714,3,3.2,2.571428571,3.25,2.947142857,2.333333333,2.5,4.333333333,2.333333333,2.666666667,2.5,2.666666667,2.6,2.875,3,2.625,3,3,2.6,2.428571429,3.166666667,2.5,2.333333333,2.714285714,2.571428571,2.8,2.571428571,2.75,2.777777778,2.777777778,2.555555556,2.625,2.285714286,2.818181818,2.727272727,2.714285714,2.428571429,3,3,3,2.75,2.833333333,2.2,3,2.166666667,2.4,2.333333333,2.833333333,2.8,2.333333333,2.6,2.166666667,2.4,2.333333333,2.833333333,2.2,2.666666667,2.666666667,2.666666667,2.666666667,2.666666667,2.5,2.5,2.428571429,2,2.666666667,2,0,2.5,2.2,2.25,2.5,3.333333333,2.5,2.888888889,2.727272727,2.666666667,2.9,3,2.7,3.111111111,2.555555556,3.2,3.125
